OverallQual,YearBuilt,TotalBsmtSF,GrLivArea,SalePrice
7,2003,856,1710,208500
6,1976,1262,1262,181500
7,2001,920,1786,223500
7,1915,756,1717,140000
8,2000,1145,2198,250000
5,1993,796,1362,143000
8,2004,1686,1694,307000
7,1973,1107,2090,200000
7,1931,952,1774,129900
5,1939,991,1077,118000
5,1965,1040,1040,129500
9,2005,1175,2324,345000
5,1962,912,912,144000
7,2006,1494,1494,279500
6,1960,1253,1253,157000
7,1929,832,854,132000
6,1970,1004,1004,149000
4,1967,0,1296,90000
5,2004,1114,1114,159000
5,1958,1029,1339,139000
8,2005,1158,2376,325300
7,1930,637,1108,139400
8,2002,1777,1795,230000
5,1976,1040,1060,129900
5,1968,1060,1060,154000
8,2007,1566,1600,256300
5,1951,900,900,134800
8,2007,1704,1704,306000
5,1957,1484,1600,207500
4,1927,520,520,68500
4,1920,649,1317,40000
5,1966,1228,1228,149350
8,2007,1234,1234,179900
5,1959,1398,1700,165500
9,2005,1561,1561,277500
8,2004,1117,2452,309000
5,1994,1097,1097,145000
5,1954,1297,1297,153000
5,1953,1057,1057,109000
4,1955,0,1152,82000
6,1965,1088,1324,160000
5,1959,1350,1328,170000
5,1983,840,884,144000
5,1975,938,938,130250
5,1959,1150,1150,141000
9,2005,1752,1752,319900
7,2003,1434,2149,239686
8,2006,1656,1656,249700
4,1920,736,1452,113000
5,1966,955,955,127000
6,1997,794,1470,177000
6,1934,816,1176,114500
5,1963,816,816,110000
9,1981,1842,1842,385000
5,1955,384,1360,130000
6,1964,1425,1425,180500
8,1999,970,1739,172500
7,2004,860,1720,196500
10,2006,1410,2945,438780
5,1972,780,780,124900
6,2004,1158,1158,158000
5,1920,530,1111,101000
8,2006,1370,1370,202500
7,1921,576,1710,140000
7,1997,1057,2034,219500
8,2004,1143,2473,317000
7,1970,1947,2207,180000
7,2003,1453,1479,226000
4,1945,747,747,80000
7,1953,1304,2287,225000
7,1973,2223,2223,244000
4,1982,845,845,129500
7,1998,832,1718,185000
5,1954,1086,1086,144900
3,1915,840,1605,107400
4,1973,462,988,91000
4,1956,952,952,135750
5,1948,672,1285,127000
4,1968,1768,1768,136500
5,1910,440,1230,110000
6,1968,896,2142,193500
6,1998,1237,1337,153500
8,2007,1563,1563,245000
5,1960,1065,1065,126500
7,1995,384,1474,168500
8,1991,1288,2417,260000
6,2005,684,1560,174000
6,2009,612,1224,164500
3,1915,1013,1526,85000
4,1994,990,990,123600
4,1950,0,1040,109900
5,1961,1235,1235,98600
5,1921,876,964,163500
6,1910,1214,2291,133900
6,1997,824,1786,204750
6,1993,680,1470,185000
7,1999,1588,1588,214000
4,1965,960,960,94750
5,1920,458,835,83000
4,1959,950,1225,128950
6,1977,1610,1610,205000
6,1985,741,1732,178000
5,1979,0,1535,118964
7,2009,1226,1226,198900
7,1931,1040,1818,169500
8,2003,1053,1992,250000
4,1885,641,1047,100000
5,1948,789,789,115000
5,1919,793,1517,115000
6,1977,1844,1844,190000
6,1954,994,1855,136900
7,2000,384,1430,180000
7,2007,1264,2696,383970
6,1953,1809,2259,217000
6,1945,1028,2320,259500
6,1999,729,1458,176000
5,1962,1092,1092,139000
5,2006,1125,1125,155000
7,1990,1673,3222,320000
6,2005,728,1456,163990
6,1969,938,988,180000
4,1939,732,1123,100000
6,1958,1080,1080,136000
6,1993,1199,1199,153900
6,1979,1362,1586,181000
6,1935,520,754,84500
6,1976,1078,958,128000
5,1930,672,840,87000
6,1966,660,1348,155000
5,1958,1008,1053,150000
7,1966,924,2157,226000
6,2000,992,2054,244000
5,1959,1063,1327,150750
8,2001,1267,1296,220000
5,1968,1461,1721,180000
7,1970,1304,1682,174000
5,1967,1214,1214,143000
7,1988,1907,1959,171000
8,1999,1004,1852,230000
6,1997,928,1764,231500
4,1971,864,864,115000
7,2005,1734,1734,260000
5,1952,910,1385,166000
7,1999,1490,1501,204000
5,1963,1728,1728,125000
6,2004,970,1709,130000
5,1931,715,875,105000
7,2001,884,2035,222500
7,2004,1080,1080,141000
5,1936,896,1344,115000
5,1975,969,969,122000
8,2007,1710,1710,372402
6,1971,825,1993,190000
6,1960,1602,1252,235000
6,1923,1200,1200,125000
6,1924,572,1096,79000
5,1950,0,1040,109500
8,2009,774,1968,269500
7,2004,991,1947,254900
7,2005,1392,2462,320000
6,1984,1232,1232,162500
9,2003,1572,2668,412500
7,2005,1541,1541,220000
4,1956,882,882,103200
6,1926,1149,1616,152000
5,1940,644,1355,127500
5,1955,1617,1867,190000
8,2007,1582,2161,325624
7,2004,840,1720,183500
8,1981,1686,1707,228000
5,1941,720,1382,128500
6,1960,1080,1656,215000
7,1987,1064,1767,239000
6,1961,1362,1362,163000
6,1986,1606,1651,184000
6,1950,1202,2158,243000
6,1988,1151,2060,211000
5,1958,1052,1920,172500
9,2008,2216,2234,501837
5,1923,968,968,100000
6,2000,756,1525,177000
7,1920,793,1802,200100
5,1957,0,1340,120000
7,2003,1362,2082,200000
5,1908,504,1252,127000
